classification,value,Coin,Execution Price,Size Tokens,Size USD,Side,Start Position,Direction,Closed PnL,Crossed,Fee,Timestamp,time,Win,day,month,year
Extreme Fear,24.0,HYPE,12.283,28.26,347.12,SELL,3445.26,Close Long,38.182086,True,0.104135,1740000000000.0,07:49:00,1,8,4,2025
Extreme Greed,83.0,@107,17.87,400.0,7148.0,SELL,12455.94094,Sell,388.491813,False,0.0,1730000000000.0,13:55:00,1,12,12,2024
Extreme Fear,15.0,HYPE,15.55,5077.93,78961.81,BUY,200606.61,Open Long,0.0,False,3.94809,1740000000000.0,15:20:00,0,4,3,2025
Neutral,53.0,@107,19.608,12.5,245.1,BUY,4.99866188,Buy,0.0,True,0.004375,1750000000000.0,06:18:00,0,1,5,2025
Neutral,45.0,HYPE,12.622,107.44,1356.11,BUY,2992.89,Open Long,0.0,True,0.406832,1740000000000.0,12:10:00,0,13,3,2025
Extreme Fear,15.0,HYPE,15.55,5385.36,83742.35,BUY,213265.71,Open Long,0.0,False,4.187117,1740000000000.0,15:23:00,0,4,3,2025
Extreme Greed,82.0,DOGE,0.40618,4907.0,1993.13,BUY,0.0,Open Long,0.0,True,0.697593,1730000000000.0,22:50:00,0,25,11,2024
Fear,40.0,MELANIA,0.65999,303.3,200.17,SELL,-486759.2,Open Short,0.0,False,0.020017,1740000000000.0,17:26:00,0,27,3,2025
Extreme Greed,77.0,SOL,277.0,4.0,1108.0,SELL,-4972.25,Open Short,0.0,False,0.1108,1740000000000.0,14:48:00,0,19,1,2025
Greed,61.0,EIGEN,4.078,18.34,74.79,SELL,-23609.84,Open Short,0.0,False,0.007179,1730000000000.0,20:42:00,0,27,9,2024
Fear,27.0,HYPE,13.663,36.6,500.07,SELL,20388.84,Close Long,23.78634,True,0.175023,1740000000000.0,18:16:00,1,14,3,2025
Greed,74.0,@4,2.28,15.0,34.2,BUY,2091.0,Buy,0.0,True,0.00525,1720000000000.0,21:55:00,0,11,6,2024
Greed,61.0,kPEPE,0.008772,923754.0,8103.17,BUY,-923754.0,Close Short,2.771262,True,2.836109,1750000000000.0,22:40:00,1,27,4,2025
Extreme Greed,93.0,APE,1.2796,917.2,1173.65,SELL,-4753.7,Open Short,0.0,True,0.410777,1730000000000.0,18:38:00,0,23,11,2024
Neutral,45.0,@4,3.361,32.0,107.55,SELL,1935.21926,Sell,-7.623381,True,0.037643,1730000000000.0,04:18:00,0,18,9,2024
Extreme Greed,79.0,@107,25.95,38.16,990.25,SELL,35638.42556,Sell,788.610591,False,0.099025,1740000000000.0,23:28:00,1,26,12,2024
Extreme Fear,15.0,@107,16.319,69.98,1142.0,SELL,2689.423348,Sell,15.112011,True,0.342601,1740000000000.0,18:13:00,1,4,3,2025
Extreme Greed,76.0,BTC,105466.0,0.14222,14999.37,BUY,0.0,Open Long,0.0,True,4.499812,1740000000000.0,02:03:00,0,31,1,2025
Greed,72.0,SOL,147.13,13.59,1999.5,BUY,-5706.61,Close Short,-33.783381,True,0.599849,1750000000000.0,03:19:00,0,23,4,2025
Greed,74.0,W,0.638,300.0,191.4,SELL,-86071.0,Open Short,0.0,True,0.06699,1720000000000.0,19:21:00,0,27,5,2024
Neutral,54.0,HYPE,18.252,28.4,518.36,SELL,-4384.35,Open Short,0.0,True,0.155507,1750000000000.0,15:53:00,0,28,4,2025
Neutral,49.0,HYPE,22.2,20.0,444.0,SELL,11079.65,Close Long,5.498,False,0.0444,1740000000000.0,19:10:00,1,24,2,2025
Greed,60.0,TAO,363.0,6.158,2235.35,SELL,-169.771,Open Short,0.0,False,0.223535,1750000000000.0,06:39:00,0,25,4,2025
Greed,65.0,@107,18.183,0.81,14.73,SELL,824.4853247,Sell,-0.724381,True,0.004418,1750000000000.0,06:31:00,0,26,4,2025
Extreme Greed,83.0,@107,16.145,5.0,80.72,SELL,5737.015232,Sell,18.941416,True,0.027122,1730000000000.0,00:10:00,1,12,12,2024
Fear,30.0,HYPE,11.926,838.54,10000.43,BUY,24582.12,Open Long,0.0,True,3.360143,1740000000000.0,05:57:00,0,5,4,2025
Extreme Greed,90.0,SOL,237.15,1.2,284.58,BUY,-1.2,Close Short,-4.13628,True,0.099603,1730000000000.0,15:18:00,0,17,11,2024
Fear,31.0,BTC,83741.0,0.00015,12.56,BUY,2.57891,Open Long,0.0,True,0.004396,1740000000000.0,03:03:00,0,14,4,2025
Fear,32.0,HYPE,13.604,42.74,581.43,SELL,1781.64,Close Long,2.914868,True,0.17443,1740000000000.0,13:29:00,1,17,3,2025
Greed,72.0,SOL,150.6,339.46,51122.68,SELL,-4253.73,Open Short,0.0,True,12.780669,1750000000000.0,21:20:00,0,23,4,2025
Fear,32.0,@107,16.759,40.99,686.95,BUY,918.0662951,Buy,0.0,True,0.01434644,1750000000000.0,01:07:00,0,19,4,2025
Neutral,48.0,WLD,1.7826,280.5,500.02,SELL,-6498.2,Open Short,0.0,True,0.175006,1720000000000.0,12:42:00,0,9,8,2024
Fear,33.0,HYPE,17.25,63.41,1093.82,SELL,-5044.55,Open Short,0.0,False,0.054691,1740000000000.0,08:10:00,0,18,4,2025
Neutral,45.0,POPCAT,0.24886,471.0,117.21,BUY,-38442.0,Close Short,5.337372,True,0.041024,1740000000000.0,21:21:00,1,13,4,2025
Greed,74.0,FTT,3.27,3.4,11.12,BUY,-5552.8,Close Short,0.091154,False,0.001066,1730000000000.0,17:15:00,1,11,12,2024
Greed,55.0,@107,24.389,61.75,1506.02,SELL,61.75392158,Sell,17.696069,True,0.527107,1740000000000.0,05:05:00,1,21,2,2025
Extreme Greed,82.0,ETH,3387.3,0.125,423.41,SELL,2.7627,Close Long,4.81125,True,0.148194,1730000000000.0,12:35:00,1,25,11,2024
Fear,26.0,ETH,2440.1,1.66,4050.57,SELL,561.7836,Close Long,35.6402,True,1.36099,1740000000000.0,22:10:00,1,2,3,2025
Neutral,49.0,HYPE,21.472,2.0,42.94,BUY,102592.72,Open Long,0.0,False,0.004122,1740000000000.0,13:36:00,0,24,2,2025
Fear,25.0,FARTCOIN,0.90853,705.8,641.24,SELL,-14294.2,Open Short,0.0,True,0.224434,1740000000000.0,21:11:00,0,11,4,2025
Greed,60.0,BTC,43252.0,0.99181,42897.77,SELL,2.14641,Close Long,-37.887142,True,10.724441,1710000000000.0,04:41:00,0,31,1,2024
Extreme Fear,20.0,HYPE,17.604,50.0,880.2,SELL,215502.59,Close Long,49.455,True,0.26406,1740000000000.0,04:20:00,1,5,3,2025
Neutral,45.0,HYPE,17.122,14.32,245.19,SELL,-2435.93,Open Short,0.0,True,0.073556,1740000000000.0,15:53:00,0,24,3,2025
Extreme Greed,82.0,ADA,0.77889,63.0,49.07,SELL,-733.0,Open Short,0.0,True,0.017174,1730000000000.0,20:56:00,0,21,11,2024
Greed,72.0,@107,23.917,24.92,596.01,SELL,2395.487722,Sell,53.357231,True,0.208604,1740000000000.0,11:37:00,1,28,1,2025
Extreme Greed,81.0,PURR/USDC,0.44234,100.0,44.23,BUY,7476.01949,Buy,0.0,True,0.03359,1730000000000.0,04:37:00,0,18,12,2024
Extreme Greed,75.0,@107,27.071,19.0,514.35,SELL,28537.95715,Sell,26.232322,True,0.154304,1730000000000.0,17:22:00,1,19,12,2024
Greed,71.0,BTC,44169.0,0.01177,519.87,SELL,1.13085,Close Long,-0.422543,True,0.129967,1700000000000.0,03:46:00,0,8,1,2024
Neutral,49.0,HYPE,21.595,10.73,231.71,BUY,68677.3,Open Long,0.0,False,0.022244,1740000000000.0,12:48:00,0,24,2,2025
Fear,26.0,PENDLE,3.0789,4.0,12.32,SELL,2383.0,Close Long,0.50612,True,0.00431,1740000000000.0,23:17:00,1,2,3,2025
Greed,64.0,ETH,2295.2,4.2288,9705.94,BUY,9.0233,Open Long,0.0,True,2.426485,1710000000000.0,04:25:00,0,6,2,2024
Extreme Greed,75.0,@107,24.669,10.0,246.69,BUY,32394.39184,Buy,0.0,True,0.00335996,1730000000000.0,02:40:00,0,19,12,2024
Extreme Fear,10.0,HYPE,20.8,14.57,303.06,BUY,-4815.86,Close Short,-0.887313,False,0.015152,1740000000000.0,12:48:00,0,27,2,2025
Neutral,47.0,HYPE,25.86,0.45,11.64,SELL,616.39,Close Long,0.00378,True,0.003491,1740000000000.0,03:54:00,1,18,2,2025
Neutral,45.0,HYPE,17.062,486.52,8301.0,BUY,-892.22,Close Short,67.091108,True,2.490301,1740000000000.0,17:54:00,1,24,3,2025
Extreme Greed,76.0,@123,35.0,1.65,57.75,BUY,5997.900002,Buy,0.0,True,0.00057748,1730000000000.0,20:59:00,0,13,12,2024
Neutral,49.0,HYPE,20.89,9.57,199.92,BUY,184.49,Open Long,0.0,True,0.069971,1740000000000.0,14:31:00,0,24,2,2025
